ewtb.r.001325.3:4	around	2DArea	The best climbing club |around| .
ewtb.r.001325.4:1	for	Reciprocation	Hooray |for| Craggy .
ewtb.r.001961.3:5	before	RelativeTime	Have a real mechanic check |before| you buy !!!!
ewtb.r.003418.12:6	for	Theme	Not only am I being bilked |for| money I do not owe , the office staff is rude to boot .
ewtb.r.003418.2:5	for	Purpose	I had a routine surgery |for| an ingrown toenail .
ewtb.r.003418.4:5	for	Value	Then I got a bill |for| $ 483.00 .
ewtb.r.003418.6:5	of	Topic	Blue cross has no record |of| aa reversal .
ewtb.r.003418.7:10	from	Donor/Speaker	The office refused my requests to see what they got |from| BC / BS .
ewtb.r.003418.9:28	of	Value	I eventually decided to just pay the balance even though the doctor has already been paid , but now the collection agency is trying to say another reversal |of| $ 160.00 has come through .
ewtb.r.004540.2:18	to	Purpose	For example , I actually forgot to feed my cat , and they went out of their way |to| take care of him .
ewtb.r.004540.3:15	along with	Accompanier	Additionally , when there was confusion ( my fault ) , they left me flowers |along| |with| a personalized gift .
ewtb.r.004574.3:15	to	Comparison/Contrast	It is hard to find ... and the mexican food is bland , almost equivalent |to| eating out of a can .
ewtb.r.004574.3:17	out of	InitialLocation	It is hard to find ... and the mexican food is bland , almost equivalent to eating |out| |of| a can .
ewtb.r.004574.5:2	for	Theme	I asked |for| a fried egg on my enchiladas ... and did not get it .!
ewtb.r.004574.5:6	on	Location	I asked for a fried egg |on| my enchiladas ... and did not get it .!
ewtb.r.004574.6:14	like	Comparison/Contrast	Secondly , the enchladas did not come with enchilada sauce .. but chili ... |like| Hormel 's chili .. the cheese was American cheese !
ewtb.r.004574.7:7	on	Location	The Chili Relleno .. had no batter |on| it .
ewtb.r.004940.11:4	to	Function	Because they had room |to| do 5000 , they created the larger amount , and shipped them early .
ewtb.r.004940.1:15	to	Purpose	We have been blessed to find Elite Flyers online and would not use anyone else |to| handle our postcards , posters , etc .
ewtb.r.004940.12:13	at	Value	I recommend this company to ANYONE and everyone that needs great work done |at| a reasonable rate !
ewtb.r.004940.12:4	to	Recipient	I recommend this company |to| ANYONE and everyone that needs great work done at a reasonable rate !
ewtb.r.004940.13:4	for	Duration	They have a customer |for| life in us !
ewtb.r.004940.13:6	in	Instance	They have a customer for life |in| us !
ewtb.r.004940.2:3	for	Theme	We were looking |for| a company with decent rates as our company was just getting started .
ewtb.r.004940.2:6	with	Attribute	We were looking for a company |with| decent rates as our company was just getting started .
ewtb.r.004940.2:9	as	Explanation	We were looking for a company with decent rates |as| our company was just getting started .
ewtb.r.004940.4:10	to	Destination	On one order , we needed it rushed and shipped |to| a different state .
ewtb.r.004940.5:3	with	Manner	They did that |with| no problem .
ewtb.r.004940.7:11	as	Attribute	I sent a graphic that would have been distorted if printed |as| it was .
ewtb.r.004940.8:4	with	Co-Agent	They called and worked |with| me to fix it so that it would look perfect .
ewtb.r.004940.8:6	to	Purpose	They called and worked with me |to| fix it so that it would look perfect .
ewtb.r.005636.2:6	to	Experiencer	FITNESS UNLIMITED is a second home |to| a lot of us gym members who work out daily .
ewtb.r.005636.2:9	of	Superset	FITNESS UNLIMITED is a second home to a lot |of| us gym members who work out daily .
ewtb.r.005636.3:4	about	Topic	If you are serious |about| working out in a non-commercial like atmosphere then you have chosen the best place to be .
ewtb.r.005636.3:7	in	Location	If you are serious about working out |in| a non-commercial like atmosphere then you have chosen the best place to be .
ewtb.r.005636.4:10	into	Destination	This is the most humble gym you will every step |into| .... if you dare to work on your body do n't be surprised when you see how addicting going to FITNESS UNLIMITED can be !!
ewtb.r.005636.4:17	on	Patient	This is the most humble gym you will every step into .... if you dare to work |on| your body do n't be surprised when you see how addicting going to FITNESS UNLIMITED can be !!
ewtb.r.005636.4:30	to	Destination	This is the most humble gym you will every step into .... if you dare to work on your body do n't be surprised when you see how addicting going |to| FITNESS UNLIMITED can be !!
ewtb.r.005760.3:5	out	Direction	Their Thali was not brought |out| as described ( no saag ) .
ewtb.r.005760.3:6	as	Attribute	Their Thali was not brought out |as| described ( no saag ) .
ewtb.r.005760.4:1	for	Scalar/Rank	Expensive |for| the level of food and the quality of service .
ewtb.r.005760.4:4	of	Possessor	Expensive for the level |of| food and the quality of service .
ewtb.r.005760.4:9	of	Possessor	Expensive for the level of food and the quality |of| service .
ewtb.r.006970.10:2	of	Quantity	Huge ammount |of| time wasted time and elevated blood pressure .
ewtb.r.006970.2:3	at	Time	We arrived Sunday |at| about 230 and found a do we really liked .
ewtb.r.006970.2:4	about	Approximator	We arrived Sunday at |about| 230 and found a do we really liked .
ewtb.r.006970.4:5	to	Purpose	I called the next morning |to| let then know my wife would be driving in .
ewtb.r.006970.5:13	to	Purpose	They gave me the run around and missing paperwork only to call back |to| tell me someone else wanted her and I would need to come in and put down a deposit .
ewtb.r.006970.6:4	away	Direction	I work 2 hours |away| but offered my card over the phone .
ewtb.r.006970.6:9	over the phone	Via	I work 2 hours away but offered my card |over| |the| |phone| .
ewtb.r.006970.9:0	At one point	Time	|At| |one| |point| they told me the dog had been fixed , the next day it had n't .
ewtb.r.007403.2:11	about	Topic	Hello my name is Vera and I 'm writing a review |about| my own counseling practice in Bellevue , WA. and in Renton WA .
ewtb.r.007403.2:16	in	Location	Hello my name is Vera and I 'm writing a review about my own counseling practice |in| Bellevue , WA. and in Renton WA .
ewtb.r.007403.2:21	in	Location	Hello my name is Vera and I 'm writing a review about my own counseling practice in Bellevue , WA. and |in| Renton WA .
ewtb.r.007403.3:10	with	ProfessionalAspect	I am a licensed mental health counselor and I work |with| variety of mental health problems .
ewtb.r.007403.3:12	of	Species	I am a licensed mental health counselor and I work with variety |of| mental health problems .
ewtb.r.007403.6:10	at	Locus	Please visit my website to learn more about my practice |at| www.veraakulov.com .
ewtb.r.007403.6:4	to	Purpose	Please visit my website |to| learn more about my practice at www.veraakulov.com .
ewtb.r.007403.6:7	about	Topic	Please visit my website to learn more |about| my practice at www.veraakulov.com .
ewtb.r.007403.7:5	with	ProfessionalAspect	I am a preferred provider |with| most insurance companies .
ewtb.r.007403.9:11	before	DeicticTime	I would appreciate reviews from anyone who has worked with me |before| in the mental health setting .
ewtb.r.007403.9:12	in	Locus	I would appreciate reviews from anyone who has worked with me before |in| the mental health setting .
ewtb.r.007403.9:4	from	Donor/Speaker	I would appreciate reviews |from| anyone who has worked with me before in the mental health setting .
ewtb.r.007403.9:9	with	Accompanier	I would appreciate reviews from anyone who has worked |with| me before in the mental health setting .
ewtb.r.008585.1:4	in	ProfessionalAspect	The best there is |in| service .
ewtb.r.008585.2:10	with	Accompanier	I was recently traveling down I - 24 from Nashville |with| my 3 young children and had a blowout on the southeast side of Murfreesboro .
ewtb.r.008585.2:19	on	Location	I was recently traveling down I - 24 from Nashville with my 3 young children and had a blowout |on| the southeast side of Murfreesboro .
ewtb.r.008585.2:23	of	Whole	I was recently traveling down I - 24 from Nashville with my 3 young children and had a blowout on the southeast side |of| Murfreesboro .
ewtb.r.008585.2:4	down	Course	I was recently traveling |down| I - 24 from Nashville with my 3 young children and had a blowout on the southeast side of Murfreesboro .
ewtb.r.008585.2:8	from	InitialLocation	I was recently traveling down I - 24 |from| Nashville with my 3 young children and had a blowout on the southeast side of Murfreesboro .
ewtb.r.008585.4:7	at	Time	Not only did they answer the phone |at| 4:50 on a Thursday , they hit the ground moving !.
ewtb.r.008585.4:9	on	Time	Not only did they answer the phone at 4:50 |on| a Thursday , they hit the ground moving !.
ewtb.r.008585.5:11	in	Location	They tracked down the only tire that fit my BMW 330i |in| Murfreesboro within minutes and secured it , then they came out , took off my tire ( it was a runflat - but runflats do n't do you any good if they blow out ) , and brought it to their shop to change the tire .
ewtb.r.008585.5:13	within	DeicticTime	They tracked down the only tire that fit my BMW 330i in Murfreesboro |within| minutes and secured it , then they came out , took off my tire ( it was a runflat - but runflats do n't do you any good if they blow out ) , and brought it to their shop to change the tire .
ewtb.r.008585.5:25	off	Direction	They tracked down the only tire that fit my BMW 330i in Murfreesboro within minutes and secured it , then they came out , took |off| my tire ( it was a runflat - but runflats do n't do you any good if they blow out ) , and brought it to their shop to change the tire .
