   2 # 1	_	NN CD
   1 '07 ford fusion	_	CD NNP NNP
   1 ( 989 ) 755-1109	_	-LRB- CD -RRB- CD
   2 09 xf	_	CD NNP
   1 14th street	_	NNP NNP
   1 17th street	_	NN NN
   1 2 star	_	CD NN
   1 2 star	_	CD NNS
   1 2001 nissan frontier	_	CD NNP NNP
   1 2004 x - type	_	CD NN HYPH NN
   1 2009 xf	_	CD NNP
   1 2010 genesis	_	CD NNP
   1 2010 hyundai genesis	_	CD NNP NNP
   1 21st st	_	NNP NNP
   1 3 fold	_	CD NN
   1 3 star	_	CD NN
   1 360 restraunt	_	CD NN
   1 4 - ever	_	GW HYPH RB
   1 4 - year college	_	CD HYPH NN NNS
   1 4 star	_	CD NNS
   5 5 star	_	CD NN
   4 5 star	_	CD NNS
   1 800 number	_	CD NN
   4 a +	_	NN SYM
   1 a +	_	NNP SYM
   1 a ++	_	NN SYM
   1 a +++	_	DT SYM
   1 a +++	_	NN SYM
   1 a ++++	_	NN SYM
   1 a +++++	_	NN SYM
   1 a ++++++++++++++++++	_	DT SYM
   1 a - team	_	NN HYPH NN
   2 a / c	_	NN HYPH NN
  13 a bit	_	DT NN
   2 a bunch	_	DT NN
   1 a class garage doors	_	NNP NNP NNP NNPS
   1 a class garage doors dr services	_	NNP NNP NNP NNPS NN NNS
  12 a couple	_	DT NN
   1 a dong	_	NNP NNP
  13 a few	_	DT JJ
   1 a few	_	DT NN
   1 a gem of a	~	DT NN IN DT
   1 a good few	_	DT JJ JJ
   1 a handful	_	DT NN
   1 a hoot	_	DT NN
   1 a least	_	RB RBS
  11 a little	_	DT JJ
   6 a little	_	DT NN
   1 a little bit	_	DT JJ NN
   1 a long time	~	DT JJ NN
  32 a lot	_	DT NN
   1 a must	_	DT NN
   1 a nervous wreck	_	DT JJ NN
   4 a number	_	DT NN
   1 a number of	~	DT NN IN
   1 a pleasure	_	DT NN
   2 a shame	_	DT NN
   1 a short time	_	DT JJ NN
   1 a slice of heaven	_	DT NN IN NN
   1 a stretch	_	DT NN
   1 a to - do	_	DT NN HYPH NN
   1 a ton	_	DT NN
   1 a touch	_	DT NN
   1 a treat	_	DT NN
   1 a trying time	_	DT JJ NN
   1 a ward dance centre	_	GW NNP NNP NNP
   2 a while	_	DT NN
   1 able and willing	~	JJ CC JJ
   1 about to	_	JJ TO
   1 about to	_	RB TO
   1 above all	_	IN DT
   1 above the call of duty	_	IN DT NN IN NN
   3 accord to	_	VBG IN
   1 across the board	_	IN DT NN
   1 add bonus	~	VBN NN
   1 add insult to injury	_	VB NN IN NN
   1 add on	_	VB RP
   1 add to	~	VBG IN
   1 adelphi hotel	_	NNP NNP
   1 advanced auto parts	_	NNP NNP NNP
   1 adventure tour	_	NN NN
   1 african - american	_	JJ HYPH JJ
   1 after all	_	RB RB
   1 after be say and do	~	IN VBD VBN CC VBN
   1 agree on	~	VBD IN
   1 ahead of time	_	RB IN NN
   1 air conditioning	_	NN NN
   1 air conditioning	_	NNP NNP
   1 air duct	_	NN NN
   1 air filter	_	NN NN
   2 alan 's	_	NNP POS
   1 alan grissom	_	NNP NNP
   1 all about	_	RB IN
   1 all about	~	RB IN
   1 all have to do be	~	DT VBP TO VB VBZ
   1 all in a matter of	~	RB IN DT NN IN
   1 all in one	_	DT IN CD
   1 all inclusive	_	RB JJ
   1 all kidding aside	_	DT NN RB
   1 all kind	_	DT NN
   1 all of	_	DT IN
   5 all over	_	RB IN
   1 all round	_	RB RB
   4 all the time	_	PDT DT NN
   2 all the way	_	PDT DT NN
   1 all together	_	GW RB
   1 all you can ask	_	DT PRP MD VB
   1 allen tire	_	NNP NNP
   1 allentown post office	_	NNP NNP NNP
   3 along with	_	IN IN
   1 alta moda	_	NNP NNP
   1 amelia gentle dentistry	_	NNP NNP NNP
   1 american cheese	_	JJ NN
   1 american express	_	NNP NNP
   1 american pride irrigation & landscaping	_	NNP NNP NNP CC NNP
   1 among others	_	IN NNS
   1 amusement parks	_	NN NNS
   1 an arm and a leg	_	DT NN CC DT NN
   1 and company	_	CC NN
   1 and now	_	CC RB
   1 and with good reason	~	CC IN JJ NN
   1 and yet	_	CC CC
   1 angry lobster	_	JJ NN
   1 animal lover	~	NN NN
   1 anna maria jose mudo	_	NNP NNP NNP NNP
   1 anna marie	_	NNP NNP
   1 answer phone	~	VBD NN
   1 answer question	~	VBD NNS
   1 answer question	~	VBG NNS
   1 antipasto misto	_	NN NN
   1 any longer	_	RB RBR
   1 any more	_	RB RBR
   1 any one	_	DT NN
   1 anytime soon	~	NN RB
   1 aortic stenosis	_	JJ NN
   2 apart from	_	RB IN
   1 arancini di riso	_	NN NN NN
   2 argue with	~	VB IN
   1 around back	_	IN NN
   1 around the clock	_	IN DT NN
   2 around the corner	~	IN DT NN
   1 around the edge	~	IN DT NNS
   1 art school	_	NN NN
   1 as an example	_	IN DT NN
   1 as as possible	~	RB IN JJ
   1 as far as	_	RB RB IN
   2 as if	_	IN IN
   2 as long as	_	RB RB IN
   2 as possible	~	IN JJ
   5 as soon as	_	RB RB IN
   2 as to	_	IN IN
   1 as usual	~	IN JJ
  12 as well	_	RB RB
   6 as well as	_	RB RB IN
   1 ashdown horse transport	_	NNP NNP NNP
   2 aside from	_	RB IN
   5 ask for	~	VB IN
   8 ask for	~	VBD IN
   1 ask for	~	VBN IN
   1 ask for	~	VBP IN
   1 ask for back	_	VBD IN RB
   1 ask question	~	VBP NNS
   1 assembly line	_	NN NN
   1 associate with	~	VBN IN
   1 aswered phone	_	VBD NN
   1 aswering question	~	VBG NNS
   1 at a premium	_	IN DT NN
   9 at all	_	RB RB
   1 at all costs	_	IN DT NNS
   1 at all times	~	IN DT NNS
   7 at best	_	RB RBS
   1 at fault	_	IN NN
   1 at first	_	RB RBS
  12 at least	_	RB RBS
   1 at night	_	IN NN
   1 at one point	_	IN CD NN
   1 at peace	_	IN NN
   1 at that	_	IN DT
   1 at the last minute	_	IN DT JJ NN
   2 at this point	_	IN DT NN
   1 at times	_	IN NNS
   1 at which point	_	IN WDT NN
   1 atlanta paperback book printing	_	NNP NNP NNP NNP
   1 atlantic wireless	_	NNP NNP
   2 attend to	_	VBN IN
   2 attention to detail	_	NN IN NN
   1 auto glass	_	NN NN
   1 auto glass repair shop	~	NN NN NN NN
   1 auto repair	_	NN NN
   1 auto shop	_	NN NNS
   3 auto towing	_	NNP NNP
   1 avail of	_	VBD IN
   1 award dance centre	_	NNP NNP NNP
   1 back ache	_	NN NNS
   1 back and forth	_	RB CC RB
   1 back for more	~	RB IN JJR
   3 back in	~	RB IN
   1 back office	_	JJ NN
   2 back pain	_	NN NN
   1 back to	_	RB IN
   1 back to back	_	NN IN NN
   1 back up	_	VB RP
   1 back yard	_	JJ NN
   1 bad for business	~	JJ IN NN
   1 bait and switch	_	NN CC NN
   1 bait and switch	_	VB CC VBG
   1 ball pit	_	NN NN
   1 ball square cafe	_	NNP NNP NNP
   1 banana split	_	NN NN
   1 bandera road	_	NNP NNP
   1 bang for buck	_	NN IN NN
   1 bar - b - que	_	NN HYPH NN HYPH NN
   1 bar and grill	_	NN CC NN
   1 barbara quimba	_	NNP NNP
   1 barn dance	_	NN NN
   1 barrett motor cars of san antonio	_	NNP NNP NNPS IN NNP NNP
   1 barry s auto tech	_	NNP POS NNP NNP
   1 barton car wash	_	NNP NNP NNP
   1 bascom light rail	_	NNP NNP NNP
   2 base on	_	VBN IN
   1 base on	~	VBN IN
   1 bathing suit	_	NN NN
   1 battery park pest	_	NNP NNP NNP
   1 bay rd	_	NNP NNP
   1 bay ridge	_	NNP NNP
   1 bay view	_	NNP NNP
   1 bayside chiropractic	_	NNP NNP
   1 bbq chicken pizza	_	NN NN NN
   1 bc / bs	_	NNP HYPH NNP
   1 be a big baby	_	VBD DT JJ NN
   1 be a gem	~	VBZ DT NN
   1 be a hassle	_	VBD DT NN
   3 be a joke	_	VBZ DT NN
   1 be a nice touch	_	VBZ DT JJ NN
   1 be a no brainer	_	VBD DT NN NN
   1 be a pain	_	VBZ DT NN
   1 be a plus	_	VBZ DT NN
   1 be about	_	VBZ IN
   1 be first call	_	VB JJ NN
   1 be happy camper	_	VBZ JJ NN
   1 be in	_	VBD RB
   1 be in	_	VBZ IN
   2 be in for a treat	_	VBD IN IN DT NN
   1 be in hands	_	VBD IN NNS
   1 be in hands	_	VBZ IN NNS
   1 be inclined	_	VB JJ
   1 be into	_	VBP IN
   1 be make to	_	VBP VBN TO
   1 be no more	_	VBZ RB RBR
   1 be no stranger to	_	VBP DT NN IN
   1 be not to be miss	~	VBP RB TO VB VBN
   1 be out of	_	VBD IN IN
   1 be out of this world	_	VBP IN IN DT NN
   1 be put off by	~	VB VBN RP IN
   1 be rude	_	VBG JJ
   1 be say and do	_	VBD VBN CC VBN
   6 be suppose to	_	VBD VBN TO
   2 be suppose to	_	VBP VBN TO
   1 be sure	_	VB JJ
   1 be sure to	_	VB JJ TO
   1 be the epitome of	_	VBD DT NN IN
   1 be the for you	~	VBZ DT IN PRP
   1 be there / do that	_	VBN RB XX VBN DT
   1 be there for	_	VBN RB IN
   1 be through	_	VBN IN
  15 be to	_	VBN IN
   2 be to die for	_	VBP TO VB IN
   1 be too	_	VBN IN
   1 be up	_	VBZ RB
   1 be wrong with	~	VBD JJ IN
   1 be you kid me	~	VBP PRP VBG PRP
   1 bear and raise	~	VBN CC VBN
  10 because of	_	IN IN
   1 beg to differ	_	VBP TO VB
   1 beginning yoga with brittany	_	NN NN IN NNP
   1 behind the scene	_	IN DT NNS
   1 behind the wheel	_	IN DT NN
   1 belgian tavern	_	JJ NN
   1 believe in	_	VB IN
   1 believe in yourself	~	VB IN PRP
   1 believe it or not	_	VB PRP CC RB
   1 believe me	_	VB PRP
   1 bellevue , wa.	~	NNP , NNP
   1 belong to	_	VBD IN
   1 below zero	~	IN CD
   1 bench test	_	NN VB
   1 best and affordable tour operators and tours agents	_	NNP CC NNP NNP NNPS CC NNPS NNPS
   1 best of the best	_	JJS IN DT JJS
   1 better believe	_	RBR VB
   1 better business bureau	_	JJR NN NN
   1 better off	_	JJR RP
   1 better than ever	~	JJR IN RB
   1 beware of	~	VB IN
   1 bexar county tax office	_	NNP NNP NNP NNP
   1 big box store	_	JJ NN NN
   1 big buck	_	JJ NNS
   1 big deal	_	JJ NN
   1 big deal	~	JJ NN
   1 big rig	_	JJ NN
   1 big toe	_	JJ NNS
   1 birthday card	_	NN NN
   1 birthday party	_	NN NN
   1 birthday party	_	NN NNS
   1 bistro tallulah	_	NNP NNP
   1 bite the dust	_	VBZ DT NN
   2 bj s	_	NNP POS
   1 black bean	_	JJ NNS
   1 black belt	_	JJ NN
   1 blacken catfish	_	VBN NN
   1 blood pressure	_	NN NN
   3 bloody mary	_	JJ NN
   1 bloody mary mix	~	JJ NN NN
   1 bloom legal	_	NNP NNP
   1 bloom onion	_	VBG NN
   1 blow away	_	VBD RB
   1 blow away	_	VBN RB
   1 blow dry out	~	VB VBP RP
   1 blow glass	_	VBN NN
   1 blow out	_	VBP RP
   1 blower fan	_	NN NN
   1 blue book	_	NNP NNP
   1 blue cross	_	NNP NNP
   1 blue cross / blue shield	_	NNP NNP HYPH NNP NNP
   1 blue water bridge duty free	_	NNP NNP NNP NNP NNP
   1 blue water bridges	_	NNP NNP NNPS
   1 bmw 330i	_	NNP NNP
   1 bmw z3	_	NNP NNP
   1 bon appetit	_	UH UH
   1 book a reservation	_	VB DT NN
   1 boothbay harbor	_	NNP NNP
   2 both side	~	DT NNS
   2 bother with	~	VB IN
   2 bottom line	_	JJ NN
