sent ID,token,v1,v2 Scene Role,v2 Prep Function,gov,note,
ewtb.r.187266.14:0,-,`,,,,,|-| R. Morris .
ewtb.r.241855.4:15,-,`,,,,,Nothing compares to a home made product that really stands the test of time . |-|
ewtb.r.363482.2:12,-,`,,,,,"How do you run a cafe , with no refills on coffee |-| ?"
ewtb.r.399348.3:15,-,`,,,,,"Common room was comfortable and clean , very good room to read or relax . |-|"
ewtb.r.292841.6:24,;-),`,,,,,"The motel is very well maintained , and the managers are so accomodating , it 's kind of like visiting family each year ! |;-)|"
ewtb.r.272836.5:1,:-),`,,,,,THX |:-)|
ewtb.r.010450.7:5,:(,`,,,,,Queso should not be watery |:(| .....
ewtb.r.109263.3:23,:(,`,,,,,I had sonic in many other palces but for some reason this sonic is always just covered in grease and not good ... |:(|
ewtb.r.002288.1:5,:),`,,,,,It 's well cool . |:)|
ewtb.r.030430.2:17,:),`,,,,,I think the women at this salon know that their business is based primarily from referrals . |:)|
ewtb.r.117893.4:6,:),`,,,,,Loved every bit of it . |:)|
ewtb.r.121987.2:13,:),`,,,,,"I lived here for two years when the prices were a little lower |:)| The places are very nice and clean , and in great condition !"
ewtb.r.126086.1:21,:),`,,,,,"I like I Move CA - Los Angeles Movers , they moved me before , but this time they were awesome |:)|"
ewtb.r.162702.4:4,:),`,,,,,I definitely recommend him |:)|
ewtb.r.186275.1:0,:),`,,,,,|:)|
ewtb.r.211709.1:9,:),`,,,,,Best ceviche that I 'd had so far ! |:)|
ewtb.r.276689.11:10,:),`,,,,,"Other than that , I would recommend living here . |:)|"
ewtb.r.289763.1:5,:),`,,,,,Awesome service with a smile |:)|
ewtb.r.335225.5:20,:),`,,,,,"I hate to say check them out just for the salsa , but James , I NEED another jar badly |:)| All kidding aside , they are a very good company , I have a hard time giving any service biz a 5 star review but they came close ."
ewtb.r.354555.2:5,:),`,,,,,and the people are sweet |:)|
ewtb.r.371492.5:8,:),`,,,,,I will definitely refer my friends and family |:)|
ewtb.r.326439.13:4,:D,`,,,,,[ no homo ] |:D|
ewtb.r.288930.1:2,:P,`,,,,,great ! |:P|
ewtb.r.302465.3:15,),`,,,,,The haircut was inexpensive and so were the salon services ( eyebrows were cheap ! |)| .
ewtb.r.039383.2:17,*,`,,,,,"Pros : * Jill , the owner , is very nice and really cares about her feedback |*| Pretty nice atmosphere * Great Dessert * Not your typical veggie selection , I like !"
ewtb.r.039383.2:2,*,`,,,,,"Pros : |*| Jill , the owner , is very nice and really cares about her feedback * Pretty nice atmosphere * Great Dessert * Not your typical veggie selection , I like !"
ewtb.r.039383.2:21,*,`,,,,,"Pros : * Jill , the owner , is very nice and really cares about her feedback * Pretty nice atmosphere |*| Great Dessert * Not your typical veggie selection , I like !"
ewtb.r.039383.2:24,*,`,,,,,"Pros : * Jill , the owner , is very nice and really cares about her feedback * Pretty nice atmosphere * Great Dessert |*| Not your typical veggie selection , I like !"
ewtb.r.039383.4:16,*,`,,,,,"Cons : * Server was n't very pleasant * Pretty small portion on the blackened catfish |*| Overcooked food * Time , took about 25 minutes from ordering to eating ."
ewtb.r.039383.4:19,*,`,,,,,"Cons : * Server was n't very pleasant * Pretty small portion on the blackened catfish * Overcooked food |*| Time , took about 25 minutes from ordering to eating ."
ewtb.r.039383.4:2,*,`,,,,,"Cons : |*| Server was n't very pleasant * Pretty small portion on the blackened catfish * Overcooked food * Time , took about 25 minutes from ordering to eating ."
ewtb.r.039383.4:8,*,`,,,,,"Cons : * Server was n't very pleasant |*| Pretty small portion on the blackened catfish * Overcooked food * Time , took about 25 minutes from ordering to eating ."
ewtb.r.211797.13:4,*,`,,,,,"Aside from that little |*| mystery * , one of the sales ladies was quite comfortable telling me how wrong I was about how another dress that I loved compared to one of her dresses that I was trying on ."
ewtb.r.211797.13:6,*,`,,,,,"Aside from that little * mystery |*| , one of the sales ladies was quite comfortable telling me how wrong I was about how another dress that I loved compared to one of her dresses that I was trying on ."
ewtb.r.018548.12:0,**,`,,,,,"|**| Edit : Living on campus at Clarkson University , I have had food delivered before ."
ewtb.r.018548.5:23,**,`,,,,,"also , you can call em ahead of time , and then go to pick up ur food , or have it delivered |**| ."
ewtb.r.010450.8:0,***,`,,,,,|***| update *** NEVER MIND !
ewtb.r.010450.8:2,***,`,,,,,*** update |***| NEVER MIND !
ewtb.r.085424.1:1,******,`,,,,,Cathy |******| Five Stars for Lake Forest Tots .
ewtb.r.145645.2:2,&,`,,,,,can ever |&| never forget the training undergone here which made my life step onto the successful job without any hurdles .
ewtb.r.020992.3:5,#,`,,,,,"At 3:15 am on night |#| 2 , the fire alarm and strobe light activated in my room ."
ewtb.r.280340.3:0,#,`,,,,,|#| 1 it s immaculately clean .
ewtb.r.280340.4:0,#,`,,,,,"|#| 2 the decor is tasteful and artistic , from the comfortable chairs to the elegant light fixtures .... and ( most importantly ) # 3 the food is FANTASTIC ."
ewtb.r.280340.4:24,#,`,,,,,"# 2 the decor is tasteful and artistic , from the comfortable chairs to the elegant light fixtures .... and ( most importantly ) |#| 3 the food is FANTASTIC ."
ewtb.r.363685.13:5,#,`,,,,,Rules in the room : |#| 1 ) if you drink the soda from the fridge in your room you must prove it by leaving the can in the trash .
ewtb.r.363685.16:0,#,`,,,,,"|#| 2 ) If you take the shampoo products home , they will charge you $ 8 per item ."
ewtb.r.363685.17:0,#,`,,,,,"|#| ) If you want a late checkout , ( after 11 AM ) they charge you $ 15 for the first hour , $ 25 for the second hour , and after 2 PM it 's a full day charge ."
ewtb.r.363685.18:0,#,`,,,,,|#| 4 ) Breakfast is 8 AM to 10 AM .
ewtb.r.263870.5:3,# 1,`,,,,,"VCU has the |#| |1| art school in America , and EXCELS in healthcare and medical schooling ."
ewtb.r.054269.2:23,%,`,,,,,"Compact 's Corona dryers remove at least twice as much water as the previous dryers , allowing a production increase of over 10 |%| and a significant energy saving ."
ewtb.r.059088.3:9,%,`,,,,,If you mention the name Amir you will receive |%| 10 off at time of purchase
ewtb.r.148971.12:17,%,`,,,,,"So , therefore , now he says i am inoperable ( even though i am not 100 |%| inoperable ) , and he is letting me die ."
ewtb.r.240287.3:32,%,`,,,,,"but I was pleasantly surprised to find that the Purple Goose 's prices are reasonable ( for the SAME products found at other area boutiques , the prices were 20 - 25 |%| cheaper ) ."
ewtb.r.247097.4:11,%,`,,,,,I experienced a Definite Decrease in food craving ( about 50 |%| ) and decrease in stress after the 1st treatment .
ewtb.r.247097.7:13,%,`,,,,,I am now more at peace and my food craving is about 99 |%| gone after only 3 treatments .
ewtb.r.269560.8:4,%,`,,,,,THIS STORY IS 100 |%| TRUE .
ewtb.r.365154.9:7,%,`,,,,,She probably does not even have 10 |%| of the knowledge that some of the other EXPERIENCED vets do in this area .
ewtb.r.072507.5:0,~,`,,,,,|~| Jason
ewtb.r.336049.3:0,~,`,,,,,"|~| It took over 40 mins to be taken to our table , once there it took another 20 mins to get our orders and a further 45 mins till our starters landed on our table ."
ewtb.r.131458.4:22,a,`,,,,,I have been extremely pleased with the signs and pop - up banners she has supplied to me over the years - |a| truly first class family business run by Tina and her husband Chris .
ewtb.r.169083.1:5,a,`,,,,,I have been a patient |a| NW hospital and it was great .
ewtb.r.200668.2:9,a,`,,,,,"The staff in Allentown are friendly , helpful and |a| delight to know .."
ewtb.r.394662.4:19,a,`,,,,,"I enjoy going there although i 've only been there once , i will be returning toda to recieve |a| pair of french tips and i will only go to the best and to me the best is here ."
ewtb.r.326439.11:0,A ++++,`,,,,,|A| |++++| !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
ewtb.r.015148.4:3,a bit,`,,,,,I spent quite |a| |bit| because I spoil my little princess .
ewtb.r.024385.3:0,A bit,`,,,,,"|A| |bit| pricey , so I did n't go very often , but it was always a treat when I did ."
ewtb.r.055976.2:6,a bit,`,,,,,The front staff has seen quite |a| |bit| of turnover and changed from professional to rude .
ewtb.r.149741.1:7,a bit,`,,,,,It 's helpful to know a quite |a| |bit| about bull fighting .
ewtb.r.154658.3:10,a bit,`,,,,,"Extensive drink list and daily specials but wish they had |a| |bit| more on their food menu , although popcorn is a nice touch !"
ewtb.r.181771.5:29,a bit,`,,,,,"I took the weekend off and came in and asked for the manager who is Jeff and he remembered her right away even remembered her dog , I was |a| |bit| shocked that someone would pay that close attention ."
ewtb.r.255261.5:6,a bit,`,,,,,Go there on christian holidays for |a| |bit| of churchy grandure .
ewtb.r.319816.12:7,a bit,`,,,,,"Once again , I waited for quite |a| |bit| before being attended to ."
ewtb.r.342807.4:22,a bit,`,,,,,"Anyway , I was practically raised on this stuff , and being a connoisseur of West Indian cuisine , Jamaica Way is |a| |bit| toned down to suit the American palette ."
ewtb.r.358702.3:2,a bit,`,,,,,I have |a| |bit| of experience watching the usual assembly line .
ewtb.r.369210.3:3,a bit,`,,,,,Bramen Honda was |a| |bit| of a hassle .
ewtb.r.142081.7:11,a bunch,`,,,,,I also did not feel like they tried to sell me |a| |bunch| of services that I did not need .
ewtb.r.294081.10:15,A BUNCH,`,,,,,"WHEN YOU FIRST COME IN THE HOSTESS IS NOT VERY FRIENDLY , THERE IS JUST |A| |BUNCH| OF WORKERS STANDING THERE ."
ewtb.r.057386.3:6,a couple,`,,,,,There was a change of ownership |a| |couple| of years ago and service is both quick and extremely friendly .
ewtb.r.091704.3:0,A couple,`,,,,,"|A| |couple| days after the oil change , the engine ran rough , the low oil pressure light would come on sporadically , and the engine would whir loudly ."
ewtb.r.107692.11:11,a couple,`,,,,,I suggest you go up to Raging Taco & Raging Burrito |a| |couple| of blocks up the street or even Taco Mac .
ewtb.r.118679.2:6,a couple,`,,,,,"Unfortunately , I 've given it |a| |couple| of tries at different times and decided to stop going ."
ewtb.r.128168.10:13,a couple,`,,,,,"The other ladies had a similar experience , both had nail polish on |a| |couple| of toes ."
ewtb.r.196219.1:2,A COUPLE,`,,,,,ATE HERE |A| |COUPLE| TIMES .
ewtb.r.229410.6:2,a couple,`,,,,,"We met |a| |couple| of weeks later , Ted was late ."
ewtb.r.278775.3:5,a couple,`,,,,,We made the decision for |a| |couple| of reasons .
ewtb.r.290594.11:29,a couple,`,,,,,"You were clearly given another alternative by Second Home , to board him - which might have given your dog a chance to come and go from Second Home |a| |couple| times , getting used to the place and maybe facilitating another attempt to get into daycare later ."
ewtb.r.313714.5:8,a couple,`,,,,,If you get caught in traffic and are |a| |couple| minutes late they make you re-schedule ... for 6 weeks later .
ewtb.r.332785.4:13,a couple,`,,,,,"I was ready to buy a new jacket , a new sweater and |a| |couple| of your overpriced belts and I walked out because of your obvious lurking"
ewtb.r.335815.2:2,a couple,`,,,,,"There are |a| |couple| decent people working there , but the rest are VERY dishonest , as well as rude , I have yet to hear the truth come out of their mouths ."
ewtb.r.042085.3:1,a few,`,,,,,Noticed |a| |few| of these Cookie cutter places opening in Summit and New Providence .
ewtb.r.018548.8:3,a little,`,,,,,"their pizza was |a| |little| salty for me , but it s still good ."
ewtb.r.083454.1:29,a little,`,,,,,"I did n't end up buying my car here , but I did think the guy who worked with me was pretty cool - he was willing to budge |a| |little| on the price which means a lot to me ."
