,P,,Transitivity,v1,Informal grouping,v2 Scene Role,v2 Prep Function,sent:token ID,v2 decision,
ewtb.r.396874.5:7,over,,,Scalar/Rank,,?,,,,The crew at The Creative Workshop went |over| and above the call of duty and gave me back a car I can drive anywhere and finally enjoy owning .
ewtb.r.384229.2:9,with,,,ProfessionalAspect,RelRoleAccompanier,?,,,,I was with verizon and I checked my service |with| tmobile and it was great so I thought I would try tmobile .
ewtb.r.081934.4:0,As,,,Explanation,BROKEN ENGLISH,??,,,,"|As| I have gone through many reviews sites to see if any provider is providing better services or not , and I have realized that there were many good reviews about Liquidweb also Steven never faced any server issues in his whole hosting ."
ewtb.r.093655.7:20,as,,,Explanation,,??,,,,"I was a waitress for years and a key rule is to serve customers with small children before others , |as| I was the last to get my food ."
ewtb.r.021370.1:3,for,,,Purpose,evaluation-for-strength/specialty,??,,ewtb.r.021370.1:3,??,It 's fine |for| ...
ewtb.r.163250.4:8,for,,,DeicticTime,for-a-long-time,??,,,,The best customer service I 've come across |for| long time .
ewtb.r.081796.5:16,for,,,InitialLocation,TYPO: from?,??,,,,The mark up is minimal considering that the clothing is hard to find and often shipped |for| Europe .
ewtb.r.332068.2:16,for,,,Purpose,,??,,ewtb.r.332068.2:16,??,his clinic is very very dirty he is a real disaster to go totally not organized |for| every step he take .
ewtb.r.348247.6:6,for,,,Theme,,??,,,,How else can excellent be described |for| a business of this sort ?
ewtb.r.030430.2:14,from,,,Source,,??,,,,I think the women at this salon know that their business is based primarily |from| referrals . :)
ewtb.r.010820.3:3,in,,,State,disfluent,??,,,,"That was not |in| agreement eather , but they realy demand it ."
ewtb.r.382257.2:14,in,,,DeicticTime,,??,,,,"Excellent service , Not only did they get the exact car I wanted win |in| 48 hours but the sales man also took me out to lunch ."
ewtb.r.045753.1:10,in,,,Manner,,??,,,,Compare to last decade this University is gaining more prestige |in| International level
ewtb.r.035726.2:10,in,,,Topic,,??,,,,Dr. Aster and her team have been a strong advocate |in| the health of both my daughters .
ewtb.r.079375.6:0,In this day,,,Time,,??,,,,"|In| |this| |day| it s rare to find such wonderful people who CARE , Not the kind of want to make cash ."
