,,P,lemma,v2 Scene Role,v2 Prep Function,
ewtb.r.053248.3:10,@ablodgett,','s,Experiencer,Possessor,"The truth is , in my and my dining partners |'| experience , this is a fine little restaurant with some unique food ."
ewtb.r.072507.1:18,@ablodgett,','s,Possessor,Possessor,"Dave is a patient and methodical teacher , who has a great ear and sensitivity for his students |'| passion and the direction they want their lessons to take ."
ewtb.r.211797.9:36,@ablodgett,','s,Creator,Possessor,"They either : a ) do n't want to give it to me because they do n't want me purchasing the dress elsewhere or b ) are recreating the dresses themselves ( ie STEALING other designers |'| dress designs and "" filling the orders "" by their own seamstresses ) ."
ewtb.r.319816.25:21,@ablodgett,','s,Possessor,Possessor,"Of course , they could n't call him either to ask about it because apparently they do n't keep their employees |'| phone numbers ( riiight ) , so I would have to return on Monday ( driving for 3 days now with no wheel lock should I get a flat ) ."
ewtb.r.008585.8:34,@ablodgett,'s,'s,Gestalt,Possessor,"It 's without a doubt , the best service experience I 've ever had and just to be clear , the price he charged me was the same as my tire guy in Nashville |'s| price for putting on the other rear tire ."
ewtb.r.026883.15:21,@ablodgett,'s,'s,Possessor,Possessor,I hope the owners and employees of this store have broken bedroom suites in their homes and furniture sitting in someone |'s| warehouse .
ewtb.r.030126.5:34,@ablodgett,'s,'s,Possessor,Possessor,"The staff and the Principal are rediculous , they do n't listen to any input , and they make up rediculous rules ( They banned backpacks , because a teacher TRIPPED OVER a student |'s| ) ."
ewtb.r.035726.4:9,@ablodgett,'s,'s,SocialRel,Possessor,She is and excellent doctor to have on one |'s| team .
ewtb.r.062167.6:13,@ablodgett,'s,'s,Agent,Possessor,"She guided me through a very difficult period dealing with a family member |'s| suicide , coupled with elder abuse ."
ewtb.r.071650.10:17,@ablodgett,'s,'s,SocialRel,Possessor,I would understand if I was being treated this way by a staff member but the club |'s| actual OWNER ?!
ewtb.r.071650.1:17,@ablodgett,'s,'s,Gestalt,Possessor,I would NEVER recommend this gym to anyone and unfortunately this is based solely on the owner |'s| own unprofessionalism .
ewtb.r.072271.3:2,@ablodgett,'s,'s,Creator,Possessor,Destiny Allison |'s| metal sculptures were my favorite .
ewtb.r.077298.3:32,@ablodgett,'s,'s,Agent,Possessor,"I normally do n't write reviews but seeing that I considered Dillards a distinguished , upscale place to shop , this one wo n't be getting my business , nor my family |'s| , nor my co-workers ."
ewtb.r.091704.7:15,@ablodgett,'s,'s,SocialRel,Possessor,Once they realized their mistake they sent a mechanic and tow truck to my wife |'s| work and towed it back to fix it .
ewtb.r.095040.4:1,@ablodgett,'s,'s,Experiencer,Possessor,"Stephanie |'s| knowledge of the market and properties in our price range , made us feel secure in our decision to buy when we did ."
