sent ID,,,,,,sent,comment,sent_note,
ewtb.r.262441.1,1434110921,1434119604,@nschneid,,"{""initval"": ""I phoned this company for advice on our office refurb and although we did not use them in#the#end ( as our building contractor carried_out the electrical work ) , they provided me with plenty of useful information over an hour phone_call and subsequently we are now using PJC as our electrical maintenance contractor ."",  ""beforeVExpand"": "",  ""reconciled"": {""users"": [""csmitz"",""mgreen""], ""times"": [1433361082,1431150478]},  ""usingCurrentVersionThisUser"": "",  ""query"": ""cu-task21"",   ""sgroups"": [[17,18,19],[25,26],[43,44]],   ""wgroups"": [],   ""chklbls"": {""1"":""phoned|communication"",""3"":""company|GROUP"",""4"":""for|Purpose"",""5"":""advice|COGNITION"",""6"":""on|Topic"",""8"":""office|ARTIFACT"",""9"":""refurb|ACT"",""13"":""did|`a"",""15"":""use|social"",""17"":""in|Time"",""21"":""as|Explanation"",""23"":""building|ARTIFACT"",""24"":""contractor|PERSON"",""25"":""carried|social"",""29"":""work|ACT"",""33"":""provided|social"",""35"":""with|Theme"",""36"":""plenty|QUANTITY"",""37"":""of|Quantity"",""39"":""information|COGNITION"",""40"":""over|Duration"",""42"":""hour|TIME"",""43"":""phone|COMMUNICATION"",""48"":""are|`a"",""50"":""using|social"",""51"":""PJC|GROUP"",""52"":""as|Attribute"",""55"":""maintenance|ACT"",""56"":""contractor|PERSON""},   ""url"": ""www.ark.cs.cmu.edu/nschneid/mwe/dev/nanni/nanni.php?q=cu-task21&inst=1b&u=nschneid&psst=&from=75&initialStage=1&reconcile%5B0%5D=csmitz&reconcile%5B1%5D=mgreen&new=%5E&v=+"",   ""session"": "",  ""authuser"": ""nschneid""}","I phoned this company for advice on our office refurb and although we did not use them in_the_end ( as our building contractor carried_out the electrical work ) , they provided me with plenty of useful information over an hour phone_call and subsequently we are now using PJC as our electrical maintenance contractor .",'over' is ambiguous? 'over the course of' the phone call (Duration) vs. 'over the phone' (Via),@nschneid: 'over' is ambiguous? 'over the course of' the phone call (Duration) vs. 'over the phone' (Via),"I phoned this company for advice on our office refurb and although we did not use them in the end ( as our building contractor carried out the electrical work ) , they provided me with plenty of useful information over an hour phone call and subsequently we are now using PJC as our electrical maintenance contractor ."
ewtb.r.211797.4,1432572616,1432572649,@nschneid,,"{""initval"": ""I thought it would be a good idea to see how a_few that I liked would look like on a model ( by looking_ the dress _up online ) ."",  ""beforeVExpand"": "",  ""reconciled"": {""users"": [""csmitz"",""mgreen""], ""times"": [1431123594,1431141049]},  ""usingCurrentVersionThisUser"": ""true"",  ""query"": ""cu-task18"",   ""sgroups"": [[11,12],[24,27]],   ""wgroups"": [],   ""chklbls"": {""1"":""thought|cognition"",""4"":""be|stative"",""7"":""idea|COGNITION"",""8"":""to|`i"",""9"":""see|social"",""15"":""liked|emotion"",""17"":""look|perception"",""18"":""like|Comparison/Contrast"",""19"":""on|Possessor"",""21"":""model|PERSON"",""23"":""by|Means"",""24"":""looking|cognition"",""26"":""dress|ARTIFACT""},   ""url"": ""www.ark.cs.cmu.edu/nschneid/mwe/dev/nanni/nanni.php?q=cu-task18&inst=1b&u=nschneid&psst=&from=8&initialStage=1&reconcile%5B0%5D=csmitz&reconcile%5B1%5D=mgreen&new=%5E&v=+"",   ""session"": "",  ""authuser"": ""nschneid""}",I thought it would be a good idea to see how a_few that I liked would look like on a model ( by looking_ the dress _up online ) .,(clothing) looks good on (person): Possessor,@nschneid: (clothing) looks good on (person): Possessor,I thought it would be a good idea to see how a few that I liked would look like on a model ( by looking the dress up online ) .
ewtb.r.110441.7,1432211213,1432211269,@nschneid,,"{""initval"": ""Right_away they told us that it was the same great food with the same prices so off we went ."",  ""beforeVExpand"": "",  ""reconciled"": {""users"": [""csmitz"",""ngordi""], ""times"": [1432082323,1430283020]},  ""usingCurrentVersionThisUser"": ""true"",  ""query"": ""cu-task09"",   ""sgroups"": [[0,1]],   ""wgroups"": [],   ""chklbls"": {""3"":""told|communication"",""7"":""was|stative"",""11"":""food|FOOD"",""12"":""with|Attribute"",""15"":""prices|POSSESSION"",""17"":""off|Direction"",""19"":""went|motion""},   ""url"": ""www.ark.cs.cmu.edu/nschneid/mwe/dev/nanni/nanni.php?q=cu-task09&inst=1b&u=nschneid&psst=&from=88&initialStage=1&reconcile[0]=csmitz&reconcile[1]=ngordi&new=^&v=+"",   ""session"": "",  ""authuser"": ""nschneid""}",Right_away they told us that it was the same great food with the same prices so off we went .,"(particle) (subject) went is a cxn, but it is productive w.r.t. the particle: AWAY/OFF/OUT we went.","@nschneid: (particle) (subject) went is a cxn, but it is productive w.r.t. the particle: AWAY/OFF/OUT we went.",Right away they told us that it was the same great food with the same prices so off we went .
ewtb.r.291046.4,1431749029,1431749196,@mgreen,,"{""initval"": ""According_to news accounts , the company is struggling ."",  ""beforeVExpand"": "",  ""reconciled"": {""users"": [""csmitz"",""twater""], ""times"": [1431539125,1431224726]},  ""usingCurrentVersionThisUser"": "",  ""query"": ""cu-task24"",   ""sgroups"": [[0,1]],   ""wgroups"": [],   ""chklbls"": {""0"":""According|`d"",""2"":""news|COMMUNICATION"",""3"":""accounts|COMMUNICATION"",""6"":""company|GROUP"",""7"":""is|`a"",""8"":""struggling|social""},   ""url"": ""www.ark.cs.cmu.edu/nschneid/mwe/dev/nanni/nanni.php?q=cu-task24&inst=1b&u=mgreen&psst=&from=26&initialStage=1&reconcile%5B0%5D=csmitz&reconcile%5B1%5D=twater&new=%5E&v=+"",   ""session"": "",  ""authuser"": ""mgreen""}","According_to news accounts , the company is struggling .",`d?,@mgreen: `d?,"According to news accounts , the company is struggling ."
ewtb.r.295727.5,1431836621,1431836957,@mgreen,,"{""initval"": ""He called the next day to see if everything was to my satisfaction ."",  ""beforeVExpand"": "",  ""reconciled"": {""users"": [""csmitz"",""twater""], ""times"": [1431541049,1431225827]},  ""usingCurrentVersionThisUser"": "",  ""query"": ""cu-task24"",   ""sgroups"": [],   ""wgroups"": [],   ""chklbls"": {""1"":""called|communication"",""4"":""day|TIME"",""5"":""to|Purpose"",""6"":""see|perception"",""8"":""everything|`"",""9"":""was|stative"",""10"":""to|`j"",""12"":""satisfaction|FEELING""},   ""url"": ""www.ark.cs.cmu.edu/nschneid/mwe/dev/nanni/nanni.php?q=cu-task24&inst=1b&u=mgreen&psst=&from=80&initialStage=1&reconcile%5B0%5D=csmitz&reconcile%5B1%5D=twater&new=%5E&v=+"",   ""session"": "",  ""authuser"": ""mgreen""}",He called the next day to see if everything was to my satisfaction .,`j or EndState?,@mgreen: `j or EndState?,He called the next day to see if everything was to my satisfaction .
ewtb.r.086839.8,1440292941,1440292953,@nschneid,,"{""initval"": ""When we expressed our discontent to the manager ( that \'s right , the manager ) , did he say he would return some money , did he say he would give~ a ~discount on our next visit , did he just say \"" I \'m sorry \"" ."",  ""beforeVExpand"": "",  ""reconciled"": {""users"": [""nschneid""], ""times"": [1432935480]},  ""usingCurrentVersionThisUser"": ""true"",  ""query"": ""cu-task08"",   ""sgroups"": [],   ""wgroups"": [[31,33]],   ""chklbls"": {""2"":""expressed|communication"",""4"":""discontent|FEELING"",""5"":""to|Recipient"",""7"":""manager|PERSON"",""10"":""'s|stative"",""14"":""manager|PERSON"",""17"":""did|`a"",""19"":""say|communication"",""22"":""return|possession"",""24"":""money|POSSESSION"",""26"":""did|`a"",""28"":""say|communication"",""31"":""give|possession"",""33"":""discount|POSSESSION"",""34"":""on|Time"",""37"":""visit|EVENT"",""39"":""did|`a"",""42"":""say|communication"",""45"":""'m|stative""},   ""url"": ""demo.ark.cs.cmu.edu/nschneid/mwe/dev/nanni/nanni.php?q=cu-task08&inst=1b&u=nschneid&vsst=&from=40&initialStage=1&reconcile%5B0%5D=%5E&new=%5E&v=+"",   ""session"": "",  ""authuser"": ""nschneid""}","When we expressed our discontent to the manager ( that 's right , the manager ) , did he say he would return some money , did he say he would give~ a ~discount on our next visit , did he just say "" I 'm sorry "" .","a discount ON our next visit: ambiguous—give a discount DURING the next visit (Time), or discount the price OF the next visit (Theme)?","@nschneid: a discount ON our next visit: ambiguous—give a discount DURING the next visit (Time), or discount the price OF the next visit (Theme)?","When we expressed our discontent to the manager ( that 's right , the manager ) , did he say he would return some money , did he say he would give a discount on our next visit , did he just say "" I 'm sorry "" ."
ewtb.r.017235.2,1433702467,1433702500,@nschneid,,"{""initval"": ""Great place for Antique Lighting !"",  ""beforeVExpand"": "",  ""reconciled"": {""users"": [""nkazour+sonuffer""], ""times"": [1393965739]},  ""usingCurrentVersionThisUser"": ""true"",  ""query"": ""cu-training"",   ""sgroups"": [],   ""wgroups"": [],   ""chklbls"": {""1"":""place|GROUP"",""2"":""for|Function"",""4"":""Lighting|ARTIFACT""},   ""url"": ""www.ark.cs.cmu.edu/nschneid/mwe/dev/nanni/nanni.php?q=cu-training&inst=1b&u=nschneid&psst=&from=26&initialStage=1&reconcile%5B0%5D=nkazour%2Bsonuffer&v=+nschneid"",   ""session"": "",  ""authuser"": ""nschneid""}",Great place for Antique Lighting !,A N [for NP] cxn,@nschneid: A N [for NP] cxn,Great place for Antique Lighting !
ewtb.r.112579.11,1432681068,1432681343,@mgreen,,"{""initval"": ""A_slice_of_heaven in winter_park off forsyth !"",  ""beforeVExpand"": "",  ""reconciled"": {""users"": [""csmitz"",""ngordi""], ""times"": [1432083489,1430283818]},  ""usingCurrentVersionThisUser"": "",  ""query"": ""cu-task10"",   ""sgroups"": [[0,1,2,3],[5,6]],   ""wgroups"": [],   ""chklbls"": {""0"":""A|`"",""4"":""in|Location"",""5"":""winter|LOCATION"",""7"":""off|Location"",""8"":""forsyth|LOCATION""},   ""url"": ""www.ark.cs.cmu.edu/nschneid/mwe/dev/nanni/nanni.php?q=cu-task10&inst=1b&u=mgreen&psst=&from=16&initialStage=1&reconcile%5B0%5D=csmitz&reconcile%5B1%5D=ngordi&new=%5E&v=+"",   ""session"": "",  ""authuser"": ""mgreen""}",A_slice_of_heaven in winter_park off forsyth !,A slice of heaven noun phrase.,@mgreen: A slice of heaven noun phrase.,A slice of heaven in winter park off forsyth !
ewtb.r.266676.2,1440892703,1440892737,@nschneid,,"{""initval"": ""Thanks For The Prompt Service And Great Job You And Your Boys Have Done On Our New Solar System , The Panels On The Roof Look Great And The Power We Are Putting Back In To The Grid Is Great , Great Job Thanks"",  ""beforeVExpand"": "",  ""reconciled"": {""users"": [""nschneid""], ""times"": [1440892691]},  ""usingCurrentVersionThisUser"": ""true"",  ""query"": ""onTheme"",   ""sgroups"": [],   ""wgroups"": [],   ""chklbls"": {""0"":""Thanks|`"",""1"":""For|Reciprocation"",""4"":""Service|ACT"",""7"":""Job|ACT"",""11"":""Boys|PERSON"",""12"":""Have|`a"",""13"":""Done|social"",""14"":""On|Patient"",""18"":""System|ARTIFACT"",""21"":""Panels|ARTIFACT"",""22"":""On|Location"",""24"":""Roof|ARTIFACT"",""25"":""Look|perception"",""29"":""Power|NATURAL OBJECT"",""31"":""Are|`a"",""32"":""Putting|social"",""33"":""Back|Direction"",""35"":""To|Destination"",""37"":""Grid|COGNITION"",""38"":""Is|stative"",""42"":""Job|ACT"",""43"":""Thanks|`""},   ""url"": ""demo.ark.cs.cmu.edu/nschneid/mwe/dev/nanni/nanni.php?q=onTheme&inst=1b&u=nschneid&nsst=&from=18&initialStage=1&reconcile[0]=^&new=^&v=+"",   ""session"": "",  ""authuser"": ""nschneid""}","Thanks For The Prompt Service And Great Job You And Your Boys Have Done On Our New Solar System , The Panels On The Roof Look Great And The Power We Are Putting Back In To The Grid Is Great , Great Job Thanks","a solar panel system, not the Solar System","@nschneid: a solar panel system, not the Solar System","Thanks For The Prompt Service And Great Job You And Your Boys Have Done On Our New Solar System , The Panels On The Roof Look Great And The Power We Are Putting Back In To The Grid Is Great , Great Job Thanks"
